territorio_nombre,unidad,votos_1v,votos_2v,delta_abs,val_1V,val_2V,pp_1v,pp_2v,delta_pp
Comuna 4,SONDRA MACOLLINS GARVIN PINTO,25,0,-25,32620,35042,0.07664009809932557,0.0,-0.07664009809932557
Comuna 4,VOTO EN BLANCO,596,546,-50,32620,35042,1.8270999386879216,1.558130243707551,-0.2689696949803706
Comuna 4,ÓSCAR MAURICIO LIZCANO ARANGO,37,0,-37,32620,35042,0.11342734518700184,0.0,-0.11342734518700184
Comuna 5,ABELARDO DE LA ESPRIELLA,17816,20720,2904,46432,48434,38.370089593383874,42.77986538382128,4.409775790437408
Comuna 5,CLAUDIA LÓPEZ,365,0,-365,46432,48434,0.7860957960027568,0.0,-0.7860957960027568
Comuna 5,GUSTAVO MATAMOROS CAMACHO,5,0,-5,46432,48434,0.010768435561681599,0.0,-0.010768435561681599
Comuna 5,IVÁN CEPEDA CASTRO,22093,26806,4713,46432,48434,47.58140937284631,55.34541850765991,7.764009134813598
Comuna 5,MIGUEL URIBE LONDOÑO,22,0,-22,46432,48434,0.04738111647139904,0.0,-0.04738111647139904
Comuna 5,PALOMA VALENCIA LASERNA,2329,0,-2329,46432,48434,5.015937284631288,0.0,-5.015937284631288
Comuna 5,RAÚL SANTIAGO BOTERO JARAMILLO,160,0,-160,46432,48434,0.34458993797381116,0.0,-0.34458993797381116
Comuna 5,ROY LEONARDO BARRERAS MONTEALEGRE,22,0,-22,46432,48434,0.04738111647139904,0.0,-0.04738111647139904
Comuna 5,SERGIO FAJARDO VALDERRAMA,2558,0,-2558,46432,48434,5.509131633356306,0.0,-5.509131633356306
Comuna 5,SONDRA MACOLLINS GARVIN PINTO,22,0,-22,46432,48434,0.04738111647139904,0.0,-0.04738111647139904
Comuna 5,VOTO EN BLANCO,966,908,-58,46432,48434,2.0804617505168848,1.874716108518809,-0.20574564199807566
